IN,OUT,No,R2,MSE,MAE
21,8,5,0.866371582,0.040793005,0.131021232
21,8,6,0.808249688,0.058483674,0.156449758
21,8,7,0.749050894,0.076471769,0.179559116
21,8,8,0.688339164,0.094884787,0.201463747
22,1,1,0.996946031,0.000930173,0.019557488
22,2,1,0.996949259,0.00093002,0.019548318
22,2,2,0.982793076,0.005240855,0.047399262
22,3,1,0.996952626,0.000929817,0.019537612
22,3,2,0.98281528,0.005238772,0.047366682
22,3,3,0.955222844,0.01363815,0.076023829
22,4,1,0.996952403,0.000930346,0.019547323
22,4,2,0.982814796,0.005241472,0.047380728
22,4,3,0.955229434,0.013642943,0.076025815
22,4,4,0.916297968,0.025482988,0.103536278
22,5,1,0.996955985,0.000930107,0.01953658
22,5,2,0.982832996,0.005240605,0.047359607
22,5,3,0.95527764,0.01364028,0.075989513
22,5,4,0.916402006,0.025474833,0.103468516
22,5,5,0.866085694,0.040770058,0.130995197
22,6,1,0.996960881,0.000929481,0.019518529
22,6,2,0.982854566,0.005238832,0.047329384
22,6,3,0.955326382,0.013637602,0.075954797
22,6,4,0.916509142,0.025464637,0.103421309
22,6,5,0.866230827,0.040763505,0.130960752
22,6,6,0.807783435,0.058520114,0.156545697
22,7,1,0.996964393,0.000929269,0.019509921
22,7,2,0.982881085,0.005235634,0.047291028
22,7,3,0.955390883,0.013630433,0.075895623
22,7,4,0.916577288,0.025466612,0.10336026
22,7,5,0.866378626,0.0407544,0.130890663
22,7,6,0.807976021,0.058515503,0.156495519
22,7,7,0.748786911,0.076481539,0.179591772
22,8,1,0.996968355,0.000928895,0.019497429
22,8,2,0.982900571,0.00523453,0.047268455
22,8,3,0.955435578,0.013629544,0.075882151
22,8,4,0.916652798,0.025466957,0.103372813
22,8,5,0.866498147,0.040754368,0.130888128
22,8,6,0.808145365,0.058515493,0.156494243
22,8,7,0.748982186,0.076492706,0.179594053
22,8,8,0.688116407,0.094952605,0.201467354
23,1,1,0.99694852,0.000929415,0.019547532
23,2,1,0.996951741,0.000929263,0.019538293
23,2,2,0.982836225,0.005227713,0.047353432
23,3,1,0.996952154,0.00092959,0.019538641
23,3,2,0.982842234,0.005228489,0.047344921
23,3,3,0.955317377,0.013603574,0.075957724
23,4,1,0.996954896,0.000929585,0.019536998
23,4,2,0.982858018,0.005228289,0.047335626
23,4,3,0.955366458,0.013601188,0.075923034
23,4,4,0.91626423,0.02549326,0.103430937
23,5,1,0.996958479,0.000929345,0.019526218
23,5,2,0.982876266,0.005227395,0.047314369
23,5,3,0.955414286,0.013598603,0.07588867
23,5,4,0.916368806,0.02548495,0.103363662
23,5,5,0.865919835,0.040820554,0.131065421
23,6,1,0.996963358,0.000928724,0.01950803
