IN,OUT,No,R2,MSE,MAE
19,5,3,0.954099892,0.01400508,0.076866859
19,5,4,0.913597706,0.026339788,0.1051218
19,5,5,0.861806207,0.042090829,0.133103269
19,6,1,0.996958588,0.000930515,0.019435477
19,6,2,0.982713044,0.005284113,0.047550861
19,6,3,0.954139088,0.014005647,0.076844692
19,6,4,0.913646282,0.026348321,0.105154692
19,6,5,0.861912254,0.042096127,0.133119225
19,6,6,0.803285566,0.059914945,0.158819962
19,7,1,0.996959282,0.000930834,0.019435551
19,7,2,0.982720215,0.005284835,0.047541768
19,7,3,0.954152034,0.014008966,0.076836823
19,7,4,0.913660634,0.026356985,0.105154272
19,7,5,0.861921035,0.042113961,0.133135551
19,7,6,0.80327797,0.059947141,0.158876203
19,7,7,0.739433119,0.07932929,0.182974036
19,8,1,0.996965481,0.000929776,0.019416983
19,8,2,0.9827423,0.00528298,0.047524026
19,8,3,0.95419833,0.014007943,0.076845629
19,8,4,0.913758171,0.026351417,0.10515019
19,8,5,0.862061527,0.042108744,0.133148252
19,8,6,0.803485334,0.059936798,0.158891296
19,8,7,0.73964373,0.079338415,0.183019179
19,8,8,0.674648482,0.099052899,0.205663185
20,1,1,0.996939252,0.000932237,0.01945728
20,2,1,0.996943432,0.000931797,0.019451132
20,2,2,0.982638942,0.005287801,0.047623509
20,3,1,0.996945182,0.000932089,0.0194437
20,3,2,0.982661571,0.00528563,0.047584621
20,3,3,0.953945263,0.014027273,0.076941836
20,4,1,0.996945947,0.000932689,0.01945016
20,4,2,0.982675611,0.005286033,0.047587611
20,4,3,0.954002752,0.014022287,0.076906453
20,4,4,0.913475136,0.026353595,0.105074014
20,5,1,0.996953374,0.000931264,0.019433923
20,5,2,0.982689144,0.005286631,0.047572305
20,5,3,0.954055066,0.014018758,0.076881145
20,5,4,0.913565286,0.026349671,0.105030908
20,5,5,0.861780955,0.04209852,0.133146852
20,6,1,0.99695426,0.000931506,0.019432156
20,6,2,0.982690599,0.005288933,0.047579172
20,6,3,0.954054776,0.014025787,0.076901289
20,6,4,0.913559108,0.026364395,0.105076688
20,6,5,0.861771365,0.042122438,0.133212933
20,6,6,0.80298742,0.059980256,0.158907595
20,7,1,0.996955662,0.000931942,0.019427808
20,7,2,0.982710766,0.005287724,0.047567298
20,7,3,0.954111571,0.01402133,0.076865063
20,7,4,0.913666819,0.026355097,0.10502965
20,7,5,0.861992687,0.042092107,0.133157146
20,7,6,0.803129343,0.059992432,0.158923772
20,7,7,0.739432473,0.079329487,0.182974472
20,8,1,0.996959025,0.000931753,0.019419918
20,8,2,0.982729901,0.005286776,0.047552851
20,8,3,0.954158918,0.014019996,0.076871693
20,8,4,0.913730361,0.026359915,0.105061868
20,8,5,0.862101698,0.042096481,0.133184515
20,8,6,0.803339576,0.059981254,0.158920804
20,8,7,0.73973191,0.079311544,0.182957665
20,8,8,0.67417792,0.099196161,0.205814544
21,1,1,0.996939716,0.000932096,0.019461224
21,2,1,0.996943689,0.000931718,0.019455847
21,2,2,0.982621794,0.005293024,0.047652442
21,3,1,0.996948409,0.000931104,0.019437618
21,3,2,0.982650868,0.005288893,0.047605628
21,3,3,0.953926277,0.014033056,0.077039774
21,4,1,0.996951873,0.00093088,0.019436285
21,4,2,0.982660769,0.005290561,0.047615343
21,4,3,0.953961218,0.014034949,0.077024006
21,4,4,0.913460737,0.026357981,0.105093413
21,5,1,0.996952288,0.000931236,0.019437371
21,5,2,0.982661768,0.005292875,0.04762238
21,5,3,0.95396489,0.014040668,0.077031694
21,5,4,0.913480144,0.026365212,0.10508651
21,5,5,0.861515237,0.042161529,0.133161535
21,6,1,0.996952753,0.000931967,0.019436074
21,6,2,0.982688152,0.005289681,0.04759749
21,6,3,0.954028779,0.014033723,0.077005425
21,6,4,0.913550338,0.02636707,0.105088897
21,6,5,0.861629598,0.042165639,0.133168956
21,6,6,0.802975809,0.059983791,0.158860979
21,7,1,0.996958656,0.000931025,0.019423943
21,7,2,0.982707331,0.005288775,0.047578003
21,7,3,0.954090617,0.014027732,0.076967652
21,7,4,0.913653353,0.026359208,0.105039597
21,7,5,0.861824978,0.042143259,0.133125717
21,7,6,0.80319775,0.059971587,0.158840271
21,7,7,0.739384566,0.079344072,0.182884172
21,8,1,0.996961487,0.000930999,0.019415724
21,8,2,0.98272364,0.005288693,0.047561927
21,8,3,0.954135214,0.014027246,0.076969633
21,8,4,0.913732804,0.026359169,0.10505424
21,8,5,0.861919788,0.042152013,0.133154526
21,8,6,0.803365638,0.059973305,0.158858156
21,8,7,0.739575102,0.079359328,0.182901441
21,8,8,0.674525083,0.099090468,0.205668655
22,1,1,0.996932767,0.000934212,0.019470964
22,2,1,0.996938784,0.000933213,0.019454342
22,2,2,0.98261803,0.005294171,0.047620691
